0 NONE Person_or_Vehicle NONE:0.000412502845998 Person_or_Vehicle:0.604162232496 Other:0.0398129311798 Building_or_Public_Space:0.266852437698 Road_or_Driveway:0.0746790061996 Traffic_Signal:0.0140808895799
1 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:1.0 Other:0.0 Building_or_Public_Space:0.0 Road_or_Driveway:0.0 Traffic_Signal:0.0
2 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.756646971382 Other:0.0247552161262 Building_or_Public_Space:0.200417912721 Road_or_Driveway:0.0181798997705 Traffic_Signal:0.0
3 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.263732189852 Other:0.0294117248458 Building_or_Public_Space:0.657161411612 Road_or_Driveway:0.0496946736904 Traffic_Signal:0.0
4 Other Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.71624824044 Other:0.0220466956014 Building_or_Public_Space:0.227939103696 Road_or_Driveway:0.0337659602623 Traffic_Signal:0.0
5 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.691134836977 Other:0.0658471540948 Building_or_Public_Space:0.194794343795 Road_or_Driveway:0.0428601001436 Traffic_Signal:0.00536356499045
6 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.160503104217 Other:0.00652359380519 Building_or_Public_Space:0.802892372566 Road_or_Driveway:0.0300809294116 Traffic_Signal:0.0
7 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.376710333691 Other:0.00431230354709 Building_or_Public_Space:0.492695642696 Road_or_Driveway:0.110630016164 Traffic_Signal:0.0156517039028
8 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.774442202067 Other:0.0015994080906 Building_or_Public_Space:0.195019847834 Road_or_Driveway:0.0265051125196 Traffic_Signal:0.00243342948907
9 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.341166075689 Other:0.0068741721467 Building_or_Public_Space:0.642487645693 Road_or_Driveway:0.00482393707853 Traffic_Signal:0.00464816939237
10 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.760824845463 Other:0.00285191534014 Building_or_Public_Space:0.221738660228 Road_or_Driveway:0.0145845789683 Traffic_Signal:0.0
11 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.706210313507 Other:0.00371161981698 Building_or_Public_Space:0.26249524007 Road_or_Driveway:0.0233193554919 Traffic_Signal:0.00426347111403
12 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.882366095067 Other:0.0074506780508 Building_or_Public_Space:0.101030272636 Road_or_Driveway:0.00915295424626 Traffic_Signal:0.0
13 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.882328222188 Other:0.0110611298553 Building_or_Public_Space:0.092790707316 Road_or_Driveway:0.0138199406408 Traffic_Signal:0.0
14 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.67717281401 Other:0.00779281556323 Building_or_Public_Space:0.290264370677 Road_or_Driveway:0.0247699997492 Traffic_Signal:0.0
15 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.156527891559 Other:0.00868191700963 Building_or_Public_Space:0.791221584964 Road_or_Driveway:0.0435686064677 Traffic_Signal:0.0
16 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.0132166812931 Other:0.000991080905415 Building_or_Public_Space:0.961916427384 Road_or_Driveway:0.0229947307426 Traffic_Signal:0.000881079674706
17 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.878928616362 Other:0.00184885186326 Building_or_Public_Space:0.0967606713218 Road_or_Driveway:0.0222083091859 Traffic_Signal:0.000253551266951
18 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.162333557681 Other:0.00317294659234 Building_or_Public_Space:0.819928575099 Road_or_Driveway:0.0127427539251 Traffic_Signal:0.0018221667027
19 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.84165743583 Other:0.00578257297231 Building_or_Public_Space:0.124998076681 Road_or_Driveway:0.0268283873726 Traffic_Signal:0.000733527144254
20 Person_or_Vehicle Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.220021275497 Other:0.00466609952622 Building_or_Public_Space:0.757262962979 Road_or_Driveway:0.0175430544136 Traffic_Signal:0.000506607584684
21 Road_or_Driveway Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.796975798017 Other:0.00454881566607 Building_or_Public_Space:0.161016462592 Road_or_Driveway:0.0374589237251 Traffic_Signal:0.0
22 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.374875573606 Other:0.0101399216636 Building_or_Public_Space:0.427375101516 Road_or_Driveway:0.186267647285 Traffic_Signal:0.00134175592973
23 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.838612102698 Other:0.0109441240968 Building_or_Public_Space:0.0795600223918 Road_or_Driveway:0.0671620266694 Traffic_Signal:0.00372172414422
24 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.985888571443 Other:0.00188020261531 Building_or_Public_Space:0.00515432562942 Road_or_Driveway:0.00707690031224 Traffic_Signal:0.0
25 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.97516743256 Other:0.00380921152786 Building_or_Public_Space:0.0151694852648 Road_or_Driveway:0.00585387064777 Traffic_Signal:0.0
26 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.880397631694 Other:0.0138030046015 Building_or_Public_Space:0.0796243467672 Road_or_Driveway:0.0261750169376 Traffic_Signal:0.0
27 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.814270006456 Other:0.00883405947475 Building_or_Public_Space:0.168351453013 Road_or_Driveway:0.00854448105696 Traffic_Signal:0.0
28 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.784679754323 Other:0.00833667707174 Building_or_Public_Space:0.157282578578 Road_or_Driveway:0.0497009900267 Traffic_Signal:0.0
29 Road_or_Driveway Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.360055103707 Other:0.00251542009951 Building_or_Public_Space:0.608351079847 Road_or_Driveway:0.0290783963458 Traffic_Signal:0.0
30 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.645653668592 Other:0.0466226380816 Building_or_Public_Space:0.234384319881 Road_or_Driveway:0.0704393932012 Traffic_Signal:0.00289998024404
31 Other Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.0446958440434 Other:0.00228723221966 Building_or_Public_Space:0.88632066374 Road_or_Driveway:0.0656901647441 Traffic_Signal:0.00100609525293
32 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.364191720733 Other:0.260329417644 Building_or_Public_Space:0.249850295625 Road_or_Driveway:0.118973832881 Traffic_Signal:0.00665473311654
33 Building_or_Public_Space Building_or_Public_Space NONE:0.0 Person_or_Vehicle:0.236460237748 Other:0.00197036029465 Building_or_Public_Space:0.742412676958 Road_or_Driveway:0.0187127515038 Traffic_Signal:0.000443973496052
34 Building_or_Public_Space Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.445260878121 Other:0.00429905770306 Building_or_Public_Space:0.328168956321 Road_or_Driveway:0.218106217609 Traffic_Signal:0.00416489024561
35 Traffic_Signal Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.689373980427 Other:0.00519945742517 Building_or_Public_Space:0.239599890611 Road_or_Driveway:0.0650096188186 Traffic_Signal:0.000817052717791
36 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.919070147654 Other:0.0 Building_or_Public_Space:0.0729372393714 Road_or_Driveway:0.00724073160429 Traffic_Signal:0.000751881370632
37 Person_or_Vehicle Person_or_Vehicle NONE:0.0 Person_or_Vehicle:0.959570965758 Other:0.0023305042699 Building_or_Public_Space:0.0347923046657 Road_or_Driveway:0.00330622530614 Traffic_Signal:0.0
